Date of Sale,Address,Location,Area,Total Area,Rooms,Plot,Closing Price
7 maj 2021,Lundby 502,"Kareby,Kungälvskommun",137,,4,2174,5700000
7 maj 2021,Hällristningsgatan 18,"Ytterby-Stället,Kungälvskommun",103+9,112.0,4,281,4650000
5 maj 2021,Hareslättsvägen 8,"Marstrand,Kungälvskommun",188+30,218.0,6,676,8800000
5 maj 2021,Sundviksvägen 39,"Tjuvkil,Kungälvskommun",117,,5,447,6300000
5 maj 2021,Prejelvägen 109,"Ullstorp,Kungälvskommun",122+12,134.0,5,432,5640000
29 april 2021,Holm 220,"Bohuslän,Kungälvskommun",175+93,268.0,7,479907,10000000
29 april 2021,Mycklaborgsgatan 3,"Centrum,Kungälvskommun",149+20,169.0,5,684,5100000
29 april 2021,Östra gatan 34,"Bohuslän,Kungälvskommun",208+49,257.0,8,2419,6000000
28 april 2021,Bastubäcksvägen 33,"Ödsmålsmosse,Kungälvskommun",85,,4,1205,4175000
26 april 2021,Ulvebackegatan 20,"Ulvegärde,Kungälvskommun",196+30,226.0,6,766,6500000
25 april 2021,Gårdskiftegatan 67,"Ytterby,Kungälvskommun",103+34,137.0,4,780,5000000
21 april 2021,Enekullsvägen 52B,"Ytterby,Kungälvskommun",185,,6,795,6400000
21 februari 2017,Mycklaborgsgatan 5,"Kungälv-Centralt,Kungälvskommun",140+20,160.0,5,664,3900000
18 februari 2017,Högsberg 320,"Kode,Kungälvskommun",80+32,112.0,2,1114,2650000
16 februari 2017,Hövdingagatan 1,"Centrum,Kungälvskommun",163+160,323.0,6,1030,5400000
16 februari 2017,Häljeröd 260,"Häljeröd,Kungälvskommun",137+99,236.0,5,909,2600000
15 februari 2017,Kuskalundsvägen 33,"Vävra,Kungälvskommun",83+13,96.0,4,1519,3250000
13 februari 2017,Toreby Mosse 600,"Kungälv-Harestad,Kungälvskommun",104+16,120.0,4,1622,3750000
9 februari 2017,Mycklaborgsgatan 6,"Kungälv-Centralt,Kungälvskommun",228,,7,681,5120000
9 februari 2017,Oxelvägen 12,"Romelanda,Kungälvskommun",109,,5,289,3455000
8 februari 2017,Hällristningsgatan 6,"Ytterby,Kungälvskommun",103,,4,258,3350000
8 februari 2017,Poppelvägen 4,"Kungälv-Romelanda,Kungälvskommun",155+34,189.0,6,800,4000000
7 februari 2017,Skårby Station 500,"Kungälv-Kareby,Kungälvskommun",200+88,288.0,8,19677,6200000
7 februari 2017,Staby 200,"KÄRNA,Kungälvskommun",132+72,204.0,5,1032,2562000
6 februari 2017,Vena 295,"Ytterby-Vena,Kungälvskommun",154,,5,3152,4850000
3 februari 2017,Guddeby 272,"Ytterby,Kungälvskommun",168.5+37.5,206.0,8,1552,4700000
2 februari 2017,Grepvägen 397,"Kungälv,Kungälvskommun",148,,6,424,5600000
26 januari 2017,Skårby Station 560,"Kareby,Kungälvskommun",115+118,233.0,7,1269,3500000
26 januari 2017,Konvaljgatan 13,"Tornhaga,Kungälvskommun",115,,5,701,3750000
25 januari 2017,Broberg 130,"Lycke,Kungälvskommun",120,,5,2400,4465000
22 januari 2017,Strömgatan 10,"Ytterby,Kungälvskommun",100,,4,1071,3610000
21 januari 2017,Hövdingagatan 5,"Kungälv-Centralt,Kungälvskommun",170+34,204.0,6,641,4740000
17 januari 2017,Briljantvägen 11,"Kode,Kungälvskommun",153,,5,555,3800000
12 januari 2017,Hallsbergsvägen 6,"Kode,Kungälvskommun",139+10,149.0,5,3353,3550000
4 januari 2017,Hallbjörtorp 290,"Kärna,Kungälvskommun",75+75,150.0,5,1312,3300000
16 december 2016,Skvaltvägen 3,"RomelandaDiseröd,Kungälvskommun",180+145,325.0,8,1352,3700000
9 december 2016,Västerhöjdsvägen 8,"Kärna,Kungälvskommun",81.6+43.2,124.8,2,473,3200000
5 december 2016,Norra Arödsvägen 40,"Aröd,Kungälvskommun",55,,3,1584,2620000
2 december 2016,Östergårdsgatan 12,"Kungälv-Ytterby,Kungälvskommun",180+55,235.0,5,1137,5460000
29 november 2016,Åseby 400,"Kungälv-Rörtången,Kungälvskommun",154+5,159.0,5,2523,4550000
28 november 2016,Täljstensgatan 2,"Ytterby,Kungälvskommun",70,,3,551,3000000
22 november 2016,Västra Gatan 35a,"Kungälv-Centrum,Kungälvskommun",214+44,258.0,8,344,6450000
18 november 2016,Parken 110,"Kodelantligt,Kungälvskommun",157,,7,4160,4510000
17 november 2016,Diserödsvägen 15,"RomelandaDiseröd,Kungälvskommun",114+105,219.0,7,719,3825000
12 november 2016,Gunneröd 460,"LYCKE,Kungälvskommun",87+45,132.0,3,1067,2725000
11 november 2016,Storskiftegatan 100,"Ytterby,Kungälvskommun",135,,6,782,4215000
4 november 2016,Rökgatan 9,"Centrum,Kungälvskommun",71+59,130.0,5,737,2950000
2 november 2016,Diamantvägen 52,"Kode,Kungälvskommun",156,,6,557,4200000
1 november 2016,Väderhattsgatan 3,"Iskällan,Kungälvskommun",180+81,261.0,8,1069,6030000
27 oktober 2016,Skårpedal 160,"Lycke,Kungälvskommun",122+70,192.0,5,1643,3530000
27 oktober 2016,Kaprifolvägen 6,"Kärna,Kungälvskommun",128,,5,524,3330000
26 oktober 2016,Vävra 495,"Vävra-Tjuvkil-Kungälv,Kungälvskommun",34+55,89.0,2,3273,950000
20 oktober 2016,Oxelvägen 40,"Romelanda,Kungälvskommun",109+45,154.0,5,300,3460000
18 oktober 2016,Ulvebackegatan 6,"Bohuslän,Kungälvskommun",135+28,163.0,5,1135,4400000
17 oktober 2016,Häljeröd 190,"Romelanda,Kungälvskommun",84+79,163.0,5,4000,3400000
17 oktober 2016,Kornhall 210,"Harestad,Kungälvskommun",80,,4,570,2200000
14 oktober 2016,Tröskvägen 270,"Ullstorp,Kungälvskommun",140,,5,557,5700000
13 oktober 2016,Glöskär 300,"Kärna,Kungälvskommun",60,,3,1988,1400000
13 oktober 2016,Västerängen 17,"Ytterby,Kungälvskommun",143+37,180.0,6,825,4550000
12 oktober 2016,Solhultsgatan 20,"Centrum,Kungälvskommun",112+46,158.0,4,558,3830000
10 oktober 2016,Prästbol 165,"Aröd,Kungälvskommun",171,,6,2805,5400000
8 oktober 2016,Toftåsen 10,"Sundhammar,Kungälvskommun",70,,3,1961,2490000
5 april 2018,Gategården 182,"Hålta,Kungälvskommun",240+50,290.0,8,1484,4020000
1 april 2018,Valtersäng 11,"KungälvCentralt,Kungälvskommun",162,,,808,5495000
30 mars 2018,Harkeröd,"Hålta,Kungälvskommun",98,,3,818,795000
29 mars 2018,Ulvesund 420,"Ytterby-Ulvesund,Kungälvskommun",47,,2,1043,1650000
29 mars 2018,Hallebäcksvägen 2,"Timmervik,Kungälvskommun",73+7,80.0,3,1029,2550000
27 mars 2018,Snäckvägen 11,"Ödsmålsmosse/Rörtången,Kungälvskommun",45+25,70.0,2,1593,2000000
24 mars 2018,Bergkristallvägen 1,"Kode,Kungälvskommun",132,,5,501,4300000
23 mars 2018,Hög 110,"Diseröd,Kungälvskommun",241,,9,2835,4250000
20 mars 2018,Rishammarvägen 32,"Kareby,Kungälvskommun",122+61,183.0,5,794,4750000
16 mars 2018,Svärdgatan 8,"Ytterby,Kungälvskommun",137+8,145.0,5,428,5250000
11 mars 2018,Rörmossevägen 140,"Rörmossen,Kungälvskommun",174,,6,1407,4810000
10 mars 2018,Dotorp 400,"Kärna,Kungälvskommun",114+54,168.0,5,5650,4200000
9 mars 2018,Skomakarevägen 17,"Hålta,Kungälvskommun",178+24,202.0,6,2018,3730000
9 mars 2018,Havregången 1,"Komarken,Kungälvskommun",147,,6,504,3900000
7 mars 2018,Åldermansvägen 4,"Ytterby,Kungälvskommun",130+125,255.0,7,695,4700000
27 februari 2018,Jorsalagatan 1,"Iskällan,Kungälvskommun",119+97,216.0,7,891,4300000
26 februari 2018,Prästvägen 830,"Diseröd,Kungälvskommun",259+48,307.0,10,3049,6250000
23 februari 2018,Länsmansvägen 24,"Ytterby,Kungälvskommun",126+85,211.0,4,915,4600000
21 februari 2018,Rättarevägen 11,"Ytterby,Kungälvskommun",105+122,227.0,6,477,4780000
21 februari 2018,Västerhöjdsvägen 44,"Bohuslän,Kungälvskommun",104+15,119.0,6,285,4250000
20 februari 2018,Hemvägen 15,"Diseröd,Kungälvskommun",138,,5,,3450000
14 februari 2018,Grindvakten 31,"Grinden,Kungälvskommun",121,,5,448,3700000
9 februari 2018,Skardet 126,"Kode,Kungälvskommun",212,,7,2456,6500000
8 februari 2018,Arntorp 190,"Kareby,Kungälvskommun",85+92,177.0,4,1048,2735000
3 februari 2018,Solskiftegatan 38,"Ytterby,Kungälvskommun",110+50,160.0,5,797,4560000
3 februari 2018,Torsbyvägen 22,"Ytterby,Kungälvskommun",170+53,223.0,7,1650,4800000
1 februari 2018,Flintstensgatan 1,"Ytterby-Stället,Kungälvskommun",122,,5,304,4400000
30 januari 2018,Duvesjön 304,"Duvesjön,Kungälvskommun",124,,4,1180,3650000
30 januari 2018,Hemvägen 9,"Diseröd,Kungälvskommun",137,,5,438,3500000
26 januari 2018,Poppelvägen 1,"Diseröd,Kungälvskommun",138,,6,788,4500000
26 januari 2018,Fasanstigen 5,"Skälebräcke,Kungälvskommun",126,,5,362,3495000
22 januari 2018,Rostock 338,"Bohuslän,Kungälvskommun",161,,6,1083,5000000
19 januari 2018,Prejelvägen 128,"Ullstorp,Kungälvskommun",122,,5,293,4650000
14 januari 2018,Kolonigatan 6,"Marstrand,Kungälvskommun",135+75,210.0,5,863,8300000
12 januari 2018,Signehög 210,"Romelanda,Kungälvskommun",142+28,170.0,6,945,3350000
12 januari 2018,Munkegärdegatan 339,"Munkegärde,Kungälvskommun",117,,5,659,4750000
3 januari 2018,Nordängen 2,"Sundhammar,Kungälvskommun",165+7,172.0,6,1936,6500000
2 januari 2018,Kristiansborg 350,"Tjuvkil,Kungälvskommun",121+65,186.0,5,1099,5500000
22 december 2017,Duvesjön 180,"Duvesjön,Kungälvskommun",47,,2,1650,1725000
21 december 2017,Råckeröd 150,"Kärna,Kungälvskommun",60,,3,2095,2195000
20 december 2017,Ulvesund 530,"Ytterby-Ulvesund,Kungälvskommun",75+20,95.0,4,3233,3045000
13 december 2017,Prejelvägen 117,"Ullstorp,Kungälvskommun",122+8,130.0,5,596,4740000
13 december 2017,Krappvägen 571,"KUNGÄLV,Kungälvskommun",148+10,158.0,5,382,6000000
10 december 2017,Oskarsberg 120,"KungälvKareby,Kungälvskommun",208,,5,1363,4200000
7 december 2017,Vandilgatan 4,"Ytterby-Stället,Kungälvskommun",197,,6,885,5750000
6 december 2017,Fasanstigen 10,"Skälebräcke,Kungälvskommun",128,,4,338,4000000
2 december 2017,Lefstad 230,"Kärna,Kungälvskommun",93+93,186.0,7,1603,3580000
29 november 2017,Prejelvägen 137,"Bohuslän,Kungälvskommun",122+10,132.0,5,423,4850000
27 november 2017,Plogvägen 191,"Ullstorp,Kungälvskommun",122+26.5,148.5,5,402,4800000
24 november 2017,Västra gatan 40,"Centralt,Kungälvskommun",133+50,183.0,6,1096,6350000
24 maj 2013,Gårdskiftegatan 41,"Ytterby-Tega,Kungälvskommun",174+14,188.0,6,735,3075000
24 maj 2013,Kuskalundsvägen 36,"Vävra,Kungälvskommun",120+45,165.0,6,1339,1850000
23 maj 2013,Vävra 170,"Hålta,Kungälvskommun",62,,4,1860,1385000
23 maj 2013,Stinneröd 160,"Romelanda,Kungälvskommun",37,,2,1815,595000
16 maj 2013,Grokareby 150,"Kareby,Kungälvskommun",123+45,168.0,4,2081,2620000
14 maj 2013,Duvesjön 370,"Duvesjön,Kungälvskommun",118,,4,928,2770000
9 maj 2013,Alekärr 153,"Romelanda,Kungälvskommun",150,,8,1411,2800000
8 maj 2013,Munkegärdegatan 353,"Munkegärde,Kungälvskommun",107,,4,612,2630000
30 april 2013,Staby 490,"Kärna,Kungälvskommun",92+60,152.0,4,2230,2500000
30 april 2013,Skeppsholmsgatan 3,"Centralt,Kungälvskommun",95+3,98.0,4,780,3200000
30 april 2013,Flateby 500,"Kärna-Harestad,Kungälvskommun",110+68,178.0,6,4215,2610000
21 april 2013,Stenåldersgatan 4,"Ytterby-Stället,Kungälvskommun",107+5,112.0,5,459,2775000
18 april 2013,Ulvesund 419,"Ytterby,Kungälvskommun",65+15,80.0,3,688,2150000
17 april 2013,Östra Trädal 360,"Ytterby-ÖstraTrädal,Kungälvskommun",160+80,240.0,7,11627,3400000
17 april 2013,Dösebacka 640,"Dösebacka,Kungälvskommun",45,,2,1455,1600000
13 april 2013,Åseby Österväg 28,"Bohuslän,Kungälvskommun",70,,3,1263,1550000
11 april 2013,Plogvägen 188,"Ullstorp,Kungälvskommun",122,,5,263,3300000
10 april 2013,Ringby 164,"Kareby,Kungälvskommun",128+32,160.0,4,1300,3250000
8 april 2013,Jorsalagatan 5,"Iskällan,Kungälvskommun",185+36,221.0,6,860,4100000
21 mars 2013,Egnahemsgatan 10,"Centralt,Kungälvskommun",65+65,130.0,3,446,2825000
20 mars 2013,Källeröd 220,"Kareby,Kungälvskommun",61,,2,1696,1480000
8 mars 2013,Bokstigen 4,"Centralt,Kungälvskommun",140+50,190.0,5,1661,3330000
26 februari 2013,Hällristningsgatan 8,"Ytterby-Stället,Kungälvskommun",103,,4,262,2725000
31 mars 2020,Duvesjön 216,"Bohuslän,Kungälvskommun",153,,5,2091,4135000
30 mars 2020,Lyckan 2,"Komarken,Kungälvskommun",111+60,171.0,7,861,3630000
28 mars 2020,Klövergången 8,"Centralt,Kungälvskommun",125,,4,402,3730000
27 mars 2020,Häradsvägen 30,"Ytterby,Kungälvskommun",130,,,372,2400000
27 mars 2020,Murhammarvägen 1,"Kareby,Kungälvskommun",122,,5,822,3510000
27 mars 2020,Löstorp 160,"Kareby,Kungälvskommun",62+24,86.0,3,1282,2850000
27 mars 2020,Ädelstensvägen 52,"Kode,Kungälvskommun",123,,3,334,4150000
27 mars 2020,Sundhammarsvägen 480,"Sundhammar,Kungälvskommun",167,,6,2290,4680000
26 mars 2020,Harkvägen 343,"Kungälv,Kungälvskommun",131,,5,,4000000
26 mars 2020,Östergårdsgatan 61,"Tega,Kungälvskommun",179,,6,1204,5010000
23 mars 2020,Rishammarvägen 11,"Kareby,Kungälvskommun",115+28,143.0,6,2862,5525000
20 mars 2020,Beryllvägen 25,"Kode,Kungälvskommun",123,,5,383,4100000
12 mars 2020,Västra gatan 18B,"Centrum,Kungälvskommun",160,,6,746,6000000
11 mars 2020,Alvägen 1,"Diseröd,Kungälvskommun",126+43,169.0,6,668,3795000
9 mars 2020,Byvägen 50,"Ödsmålsmosse,Kungälvskommun",163+52,215.0,5,1275,4400000
7 mars 2020,Kulleskärsvägen 37,"Tjuvkil/Lycke,Kungälvskommun",64,,3,1456,2650000
6 mars 2020,Skårsäng 25,"Kärna,Kungälvskommun",147+9,156.0,6,547,4650000
5 mars 2020,Häljeröd 380,"Diseröd,Kungälvskommun",140+190,330.0,7,3521,4425000
3 mars 2020,Östergårdsgatan 27,"Ytterby,Kungälvskommun",156,,5,777,4450000
3 mars 2020,Tjuvkil 140,"Tjuvkil,Kungälvskommun",80+12,92.0,3,2819,2900000
2 mars 2020,Fontinvägen 32,"KungälvCentralt,Kungälvskommun",160+50,210.0,7,811,6300000
2 mars 2020,Duvesjön 327,"Kungälv-Duvesjön,Kungälvskommun",103+24,127.0,4,1320,3900000
1 mars 2020,Ulvedalsgatan 10,"Ulvegärde,Kungälvskommun",154,,5,1031,5100000
28 februari 2020,Truskärsvägen 9C,"Tjuvkil,Kungälvskommun",168,,7,1039,5750000
27 februari 2020,Ivar Claessons gata 8,"Kungälv,Kungälvskommun",121+30,151.0,6,1103,5500000
26 februari 2020,Storskiftegatan 71,"ÖvreTega,Kungälvskommun",129+28,157.0,5,798,5600000
26 februari 2020,Krappvägen 556,"Bohuslän,Kungälvskommun",174+40,214.0,6,783,7925000
23 februari 2020,Fregattgatan 6,"Centraltvidälven,Kungälvskommun",180,,7,630,5330000
21 februari 2020,Nolby 325,"Kungälv,Kungälvskommun",159,,4,29096,6700000
21 februari 2020,Stenåldersgatan 59,"Ytterby,Kungälvskommun",107,,5,400,4520000
21 februari 2020,Brunnefjällsvägen 26,"Kärna,Kungälvskommun",79+5,84.0,3,1157,2360000
19 februari 2020,Reidarsgatan 3,"Centraltvidälven,Kungälvskommun",150+28,178.0,5,686,5350000
19 februari 2020,Lefstadvägen 27,"Kärna,Kungälvskommun",113+21,134.0,3,1351,4090000
11 februari 2020,Fågelstigen 41,"Centralt,Kungälvskommun",126,,5,590,4300000
10 februari 2020,Täljstensgatan 2,"Stället,Kungälvskommun",70,,3,551,3600000
7 februari 2020,Rishammar 110,"Kareby,Kungälvskommun",140+19,159.0,6,1205,4135000
6 februari 2020,Solbräcke 214,"Kungälv,Kungälvskommun",148,,4,882,4950000
5 februari 2020,Lilla Fjellsholmen 17,"LillaFjellsholmen,Kungälvskommun",5,,,400,6900000
3 februari 2020,Mariebergsvägen 150,"Kungälv,Kungälvskommun",173+86,259.0,8,4083,4250000
2 februari 2020,Åsebyberg 940,"Kode,Kungälvskommun",138+30,168.0,5,57649,4400000
30 januari 2020,Jägarvägen 5,"Diseröd,Kungälvskommun",168+8,176.0,7,550,3795000
28 januari 2020,Staby 780,"Kärna,Kungälvskommun",108+50,158.0,4,2026,3050000
28 januari 2020,Gräsgången 1,"Komarken,Kungälvskommun",125,,4,435,4100000
28 januari 2020,Toreby mosse 600,"HarestadochKärna,Kungälvskommun",104+16,120.0,4,1622,3900000
28 januari 2020,Hemvägen 19,"Romelanda,Kungälvskommun",119+19,138.0,5,381,2900000
24 januari 2020,Lerskärsvägen 51,"Lycke,Kungälvskommun",75,,4,1591,3125000
22 januari 2020,Gårdskiftegatan 72,"Ytterby,Kungälvskommun",105+109,214.0,6,856,5050000
22 januari 2020,Onyxvägen 14,"Kode,Kungälvskommun",123,,5,546,4125000
21 januari 2020,Duvesjön 201,"Bohuslän,Kungälvskommun",38+9,47.0,2,1390,1880000
21 januari 2020,Kyrkeby 296,"Kärna,Kungälvskommun",146,,5,1499,4300000
9 oktober 2023,Skårby station 350,"Kareby,Kungälvskommun",143+25,168.0,7,2303,3005000
5 oktober 2023,Högalidsgatan 3,"Centrum,Kungälvskommun",103+103,206.0,5,862,3800000
3 oktober 2023,Kungälvsvägen 22,"Centralt,Kungälvskommun",77+46,123.0,5,1548,4500000
2 oktober 2023,Ädelstensvägen 58,"Kode,Kungälvskommun",123,,6,379,4075000
27 september 2023,Kantorvägen 4,"Bohuslän,Kungälvskommun",166,,6,558,3625000
26 september 2023,Diamantvägen 34,"Kode,Kungälvskommun",123,,5,559,2900000
25 september 2023,Tjäderstigen 8,"Centralt,Kungälvskommun",126,,4,362,4760000
22 september 2023,Heavägen 31,"Lycke,Kungälvskommun",165+30,195.0,6,1553,5450000
17 september 2023,Beryllvägen 14,"Kode,Kungälvskommun",145,,5,434,3900000
17 september 2023,Kornhall 290,"Kornhall,Kungälvskommun",134+7,141.0,5,1706,6100000
15 september 2023,Grindbacken 18,"Grinden,Kungälvskommun",124,,4,932,7350000
15 september 2023,Korpvägen 273,"Ullstorp,Kungälvskommun",112,,4,480,5050000
13 september 2023,Kristiansborg 300,"Bohuslän,Kungälvskommun",215+115,330.0,5,3121,5350000
7 september 2023,Glöskär 255,"Kärna,Kungälvskommun",111+22,133.0,4,2062,3520000
6 september 2023,Nolby 150,"Kode,Kungälvskommun",129,,4,1724,4100000
5 september 2023,Skårby station 452,"Kareby,Kungälvskommun",122,,2,2963,4395000
31 augusti 2023,Snäckvägen 11,"Kode,Kungälvskommun",39,,3,1593,2150000
31 augusti 2023,Klockarvägen 1,"Bohuslän,Kungälvskommun",137,,5,884,3000000
30 augusti 2023,Lilla Fjellsholmen 35,"Vedhall,Kungälvskommun",86,,3,427,10000000
29 augusti 2023,Västra Röd 165,"Kärna,Kungälvskommun",151+20,171.0,5,2263,5995000
24 augusti 2023,Snorregatan 3B,"Komarken,Kungälvskommun",120+3,123.0,5,342,4225000
23 augusti 2023,Jägarvägen 13,"Romelanda,Kungälvskommun",162+14,176.0,5,569,3900000
23 augusti 2023,Rosenstensvägen 2,"Kungälv,Kungälvskommun",140,,5,673,4800000
16 augusti 2023,Tröskvägen 260,"Ullstorp,Kungälvskommun",135,,6,410,5600000
16 augusti 2023,Stora Lycke 400,"Bohuslän,Kungälvskommun",111+5,116.0,5,761,3650000
15 augusti 2023,Dösebacka 410,"Romelanda,Kungälvskommun",38+11,49.0,3,5960,2300000
9 augusti 2023,Mantalsgatan 9,"Tega,Kungälvskommun",175+35,210.0,7,1105,4725000
8 augusti 2023,Skälebräckeliden 9,"Centrum,Kungälvskommun",113+85,198.0,4,1608,6275000
4 augusti 2023,Norrmannebo 700,"Romelanda,Kungälvskommun",41,,3,1182,1000000
28 juli 2023,Bokvägen 14,"Fontin,centrum,Kungälvskommun",137,,6,828,5100000
17 juli 2023,Duvesjön 228,"Romelanda,Kungälvskommun",121+37,158.0,5,1150,4195000
17 juli 2023,Klintegatan 22,"Centralt,Kungälvskommun",119+55,174.0,5,999,6500000
13 juli 2023,Galärgatan 2,"KungälvCentrum,Kungälvskommun",103+60,163.0,5,749,4300000
13 juli 2023,Ulvebackegatan 3,"Munkegärde,Kungälvskommun",129+44,173.0,5,927,4850000
11 juli 2023,Vråstigen 4,"Överön,Kungälvskommun",81+57,138.0,4,2619,3775000
7 juli 2023,Bergsvägen 11,"Rörtången/Ödsmålsmosse,Kungälvskommun",69,,4,934,2000000
6 juli 2023,Lundby 509,"Kareby,Kungälvskommun",166,,6,1933,4900000
6 juli 2023,Kastellegårdsgatan 29,"Komarken,Kungälvskommun",122+16,138.0,4,1033,5200000
4 juli 2023,Sparråsvägen 140,"Kungälv-Ytterby,Kungälvskommun",137+19,156.0,4,961,3850000
4 juli 2023,Dammen 160,"Kärna,Kungälvskommun",174+25,199.0,5,3234,3450000
4 juli 2023,Önneröd 220,"Kärna,Kungälvskommun",112,,4,2032,4200000
3 juli 2023,Tulpanvägen 15,"Kärna,Kungälvskommun",105+140,245.0,4,914,3900000
2 juli 2023,Rubinvägen 19,"Kode,Kungälvskommun",195,,7,937,5050000
30 juni 2023,Gårdskiftegatan 5,"Ytterby,Kungälvskommun",164+36,200.0,5,806,5250000
30 juni 2023,Norrmannebo 270,"Romelanda,Kungälvskommun,Kungälvskommun",114+110,224.0,7,1400,4300000
29 juni 2023,Dösebacka 120,"Romelanda,Kungälvskommun",64+53,117.0,3,3824,2960000
28 juni 2023,Kärnavägen 16,"Kärna,Kungälvskommun",171+83,254.0,7,695,4300000
22 juni 2023,Torp 250,"Kareby,Kungälvskommun",159+48,207.0,4,1608,3950000
21 juni 2023,Korpvägen 279,"Ullstorp,Kungälvskommun",133+24,157.0,4,522,5850000
21 juni 2023,Västra gatan 48,"Kungälv-Centralt,Kungälvskommun",136,,5,937,6500000
3 juni 2019,Stora Ryr 240,"Lycke,Kungälvskommun",120,,4,1071,3200000
3 juni 2019,Svartbrödragatan 6,"Komarken,Kungälvskommun",124+70,194.0,5,1086,5035000
3 juni 2019,Norgårdsvägen 7,"Tjuvkil,Kungälvskommun",102+57,159.0,4,808,3200000
2 juni 2019,Hammarberg 860,"Hammarberg,Kungälvskommun",43,,3,1017,760000
31 maj 2019,Korpedalsvägen 9,"Aröd,Kungälvskommun",48,,4,1317,3100000
30 maj 2019,Kareby kyrkväg 220,"Bohuslän,Kungälvskommun",131+95,226.0,6,1498,4275000
30 maj 2019,Lilla Fjellsholmen 58,"LillaFjellsholmen,Kungälvskommun",4,,,431,6100000
29 maj 2019,Krappvägen 581,"Bohuslän,Kungälvskommun",121,,6,316,5100000
28 maj 2019,Matskärsvägen 14B,"Tjuvkil,Kungälvskommun",145,,6,331,4500000
28 maj 2019,Knapegården 126,"Bohuslän,Kungälvskommun",143+40,183.0,6,3842,4900000
27 maj 2019,Vallby 110,"Solberga-Kode,Kungälvskommun",127+14,141.0,5,12135,5050000
24 maj 2019,Munkegärdegatan 309,"Munkegärde,Kungälvskommun",118+16,134.0,4,440,4135000
21 maj 2019,Berghällsvägen 18,"Timmervik,Kungälvskommun",73,,4,1221,2400000
17 maj 2019,Solskiftegatan 33,"Ytterby,Kungälvskommun",166+47,213.0,6,773,4600000
17 maj 2019,Solberga 660,"Solberga-Kode,Kungälvskommun",162,,5,1664,5320000
16 maj 2019,Aspvägen 3,"Ytterby,Kungälvskommun",144+92,236.0,7,1561,5610000
16 maj 2019,Lagvägen 45,"Ytterby,Kungälvskommun",161,,5,647,4700000
14 maj 2019,Kareby kyrkväg 260,"Kareby,Kungälvskommun",170+58,228.0,5,2934,3300000
14 maj 2019,Halltorpsvägen 9,"Kode,Kungälvskommun",96+70,166.0,5,1293,3800000
13 maj 2019,Akvamarinvägen 6,"Kode,Kungälvskommun",98+95,193.0,5,780,3000000
13 maj 2019,Norra Arödsvägen 12,"Bohuslän,Kungälvskommun",100+24,124.0,3,1883,3100000
12 maj 2019,Storskiftegatan 67,"Ytterby,Kungälvskommun",117+49,166.0,5,921,5130000
10 maj 2019,Tegskiftegatan 70,"Ytterby,Kungälvskommun",117+117,234.0,7,1020,5140000
10 maj 2019,Oskarsberg 130,"Kareby,Kungälvskommun",135+16,151.0,4,2796,3300000
9 maj 2019,Jägersberg 340,"Bohuslän,Kungälvskommun",146+30,176.0,5,29613,5750000
8 maj 2019,Kristinedalsgatan 5,"Bohuslän,Kungälvskommun",137+67,204.0,5,701,6700000
6 maj 2019,Kyrkeby 290,"Kärna-Harestad,Kungälvskommun",146,,5,3580,4510000
6 maj 2019,Vallvägen 12,"Kareby,Kungälvskommun",7,,,2819,8345000
4 maj 2019,Ragnhildsgatan 2,"Centralt,Kungälvskommun",115+53,168.0,5,775,4100000
2 maj 2019,Rådalsvägen 25,"Aröd,Kungälvskommun",88,,4,1462,2600000
30 april 2019,Prästbol 120,"Kode,Kungälvskommun",98,,5,1380,3400000
30 april 2019,Hällristningsgatan 12,"Stället,Kungälvskommun",107,,4,560,4450000
29 april 2019,Ängsgatan 28B,"Centrum,Kungälvskommun",84,,4,136,2800000
27 april 2019,Ljungvägen  28,"ÖdsmålsmossevidRörtången,Kungälvskommun",85,,4,388,3300000
26 april 2019,Kristinedalsgatan 3,"Centrum,Kungälvskommun",87+82,169.0,5,1231,5500000
24 april 2019,Broberg 120,"Tjuvkil,Kungälvskommun",85+18,103.0,3,2064,3075000
19 april 2019,Hallbjörtorp 490,"Kärna,Kungälvskommun",150,,5,1497,4100000
19 april 2019,Häljeröd 400,"Romelanda,Kungälvskommun",89+89,178.0,4,1181,2935000
19 april 2019,Önneröd 174,"Kärna,Kungälvskommun",145,,5,4308,4675000
18 april 2019,Grindvakten 2,"Grinden,Kungälvskommun",121,,4,396,3900000
18 april 2019,Vältvägen 515,"Ullstorp,Kungälvskommun",121,,5,371,5125000
17 april 2019,Tolleröd 160,"Kode,Kungälvskommun",104+48,152.0,5,1582,3400000
15 april 2019,Bokvägen 11,"Fontin,Kungälvskommun",112+17,129.0,5,600,5325000
15 april 2019,Hällristningsgatan 22,"Ytterby,Kungälvskommun",103,,4,264,3950000
14 april 2019,Kuskalundsvägen 5,"Hålta,Kungälvskommun",75+20,95.0,3,1776,2800000
14 april 2019,Prästbol 185,"Aröd,Kungälvskommun",129,,4,2008,5400000
12 april 2019,Munkholmsgatan 5,"Kungälv,Kungälvskommun",117+50,167.0,4,759,4550000
11 april 2019,Plommeröd 160,"Romelanda,Kungälvskommun",59,,3,1418,1580000
11 april 2019,Gunneröd 320,"KärnaLycke,Kungälvskommun",145,,5,1144,3550000
2 april 2019,Skrivarevägen 48,"Ytterby,Kungälvskommun",104,,4,167,2995000
3 december 2014,Skälebräckeliden 8,"Kungälv-Centrum,Kungälvskommun",125+85,210.0,8,1055,4250000
